,mean
6,6797.0
32,6540.5
58,6045.0
84,6406.0
110,6650.857142857143
136,5992.5
162,5986.0
188,6573.333333333333
214,6452.333333333333
240,6284.25
266,5629.0
292,6498.5
318,6767.0
344,6287.75
370,6393.0
396,6336.714285714285
422,6159.333333333333
448,6136.0
474,6677.0
500,6402.428571428572
526,6708.333333333333
552,6553.0
578,6805.25
604,6359.8
630,6621.333333333333
656,6181.6
682,6561.333333333333
708,6415.4
734,7070.333333333333
760,6424.2
786,6132.0
812,6281.0
838,6455.7
864,6144.333333333333
890,6492.75
916,6366.166666666667
942,6676.75
968,6649.333333333333
994,6558.4
1020,6451.666666666667
1046,5781.0
1072,6328.714285714285
1098,6503.0
1124,6544.0
1150,5941.0
1176,6449.166666666667
1202,6239.25
1228,6562.75
1254,6263.0
1280,6425.0
1306,6537.428571428572
1332,6410.666666666667
1358,6431.4
1384,6236.0
1410,6387.75
1436,6580.0
1462,6349.5
1488,6173.125
1514,6603.8
1540,6551.0
1566,6333.25
1592,0.0
1618,6769.25
1644,5953.0
1670,6562.5
1696,6162.5
1722,6453.833333333333
1748,6692.0
1774,6247.333333333333
1800,6105.0
1826,6386.25
1852,6512.0
1878,6159.916666666667
1904,6582.142857142857
1930,6783.888888888889
1956,6314.0
1982,6424.142857142857
2008,6699.833333333333
2034,6701.25
2060,7062.428571428572
2086,6477.333333333333
2112,6398.0
2138,6365.5
2164,6552.142857142857
2190,6649.285714285715
2216,7114.75
2242,7047.25
2268,6728.2
2294,7254.0
2320,6315.0
2346,6882.0
2372,6320.5
2398,7072.142857142857
2424,7536.666666666667
2450,7135.4
2476,7538.6
2502,7294.25
2528,6969.5
2554,7409.5
2580,7210.5
2606,0.0
