,mean
7,8358.466666666667
33,8791.136363636364
59,8230.25
85,8275.058823529413
111,8339.6875
137,8004.047619047619
163,7334.0526315789475
189,8020.391304347826
215,8783.125
241,7566.071428571428
267,7538.1
293,7173.631578947368
319,8041.0
345,8143.214285714285
371,7601.739130434783
397,7000.166666666667
423,7787.333333333333
449,7048.785714285715
475,7614.75
501,8121.285714285715
527,8098.0625
553,6512.631578947368
579,8137.277777777777
605,7780.64705882353
631,7351.833333333333
657,7167.090909090909
683,7893.625
709,7178.090909090909
735,7610.6
761,7827.714285714285
787,7245.363636363636
813,7688.055555555556
839,7942.083333333333
865,7122.857142857143
891,7183.8125
917,6968.833333333333
943,7569.692307692308
969,8220.3
995,8054.333333333333
1021,7388.1875
1047,7258.75
1073,8084.6875
1099,7188.692307692308
1125,6770.764705882353
1151,7861.9
1177,6847.692307692308
1203,7903.416666666667
1229,7413.428571428572
1255,7872.071428571428
1281,6525.142857142857
1307,6864.4375
1333,7592.0625
1359,7101.111111111111
1385,7281.444444444444
1411,7739.764705882353
1437,7845.882352941177
1463,7546.083333333333
1489,7020.0
1515,7713.416666666667
1541,7315.823529411765
1567,6085.142857142857
1593,7039.4
1619,6629.384615384615
1645,0.0
1671,6632.5
1697,7066.714285714285
1723,7594.0526315789475
1749,6845.7692307692305
1775,7603.954545454545
1801,7166.125
1827,8013.380952380952
1853,6361.846153846154
1879,6928.608695652174
1905,8333.0
1931,7843.413793103448
1957,8223.833333333334
1983,8758.111111111111
2009,8345.611111111111
2035,7985.909090909091
2061,8811.380952380952
2087,7720.304347826087
2113,8732.5
2139,8873.826086956522
2165,8679.962962962964
2191,8470.375
2217,8263.363636363636
2243,8139.421052631579
2269,8701.9375
2295,8572.875
2321,8233.1
2347,7537.428571428572
2373,7835.941176470588
2399,7769.962962962963
2425,9565.153846153846
2451,8379.157894736842
2477,8198.07142857143
2503,8361.57142857143
2529,8318.944444444445
2555,8705.238095238095
2581,9549.923076923076
2607,12957.0
