,mean
0,4860.64406779661
1,4682.033707865168
2,5594.36
3,4326.2786885245905
4,6706.693877551021
5,4118.7
6,6797.0
7,8358.466666666667
8,3715.3793103448274
9,5014.5
10,5232.885714285714
11,4324.0161290322585
12,4513.307692307692
13,4016.3173076923076
14,5595.047619047619
15,6668.666666666667
16,3957.901960784314
17,4553.75
18,6436.735294117647
19,3920.75
20,4456.44
21,4922.421052631579
22,4484.461538461538
23,5109.757575757576
24,3736.785714285714
25,3970.5142857142855
26,4817.446153846154
27,4666.140845070423
28,5669.380952380952
29,4289.490196078431
30,6285.742857142857
31,3896.65
32,6540.5
33,8791.136363636364
34,3693.3863636363635
35,5394.37037037037
36,4965.793103448276
37,4384.107692307693
38,4362.444444444444
39,4016.2708333333335
40,5469.4375
41,6442.857142857143
42,3853.1714285714284
43,4346.415094339623
44,6524.341463414634
45,3816.7045454545455
46,4469.112676056338
47,4694.578947368421
48,4415.086956521739
49,5458.7307692307695
50,3709.2285714285713
51,3994.8030303030305
52,4778.285714285715
53,4691.523364485981
54,5636.684210526316
55,4311.4857142857145
56,5926.395833333333
57,3943.6341463414633
58,6045.0
59,8230.25
60,3755.28125
61,5114.866666666667
62,5241.785714285715
63,4247.704918032787
64,4341.666666666667
65,3995.257731958763
66,5694.0
67,6067.583333333333
68,3917.122448979592
69,4433.654545454546
70,6362.914285714286
71,3863.6486486486488
72,4479.482352941176
73,4935.189189189189
74,4314.11320754717
75,5490.777777777777
76,3716.75
77,3939.5402298850577
78,4811.795454545455
79,4679.811881188119
80,5799.892857142857
81,4249.416666666667
82,6257.779411764706
83,4029.866666666667
84,6406.0
85,8275.058823529413
86,3634.1911764705883
87,5290.698113207547
88,4880.568627450981
89,4313.81914893617
90,4390.827586206897
91,3962.7021276595747
92,5525.907407407408
93,6198.727272727273
94,3887.3953488372094
95,4376.382978723404
96,6515.307692307692
97,3775.8947368421054
98,4300.245283018868
99,5085.846153846154
100,4487.190476190476
101,5197.090909090909
102,3733.11214953271
103,3972.009433962264
104,4808.783783783784
105,4623.7052631578945
106,5494.125
107,4258.557142857143
108,6708.72
109,3849.1323529411766
110,6650.857142857143
111,8339.6875
112,3583.2
113,5237.214285714285
114,5374.621621621622
115,4294.521276595745
116,4542.1875
117,4038.1951219512193
118,5489.0
119,6334.222222222223
120,3910.4153846153845
121,4247.895833333333
122,6397.8
123,3824.3777777777777
124,4407.421052631579
125,4604.0625
126,4366.653225806452
127,5338.653846153846
128,3708.8854166666665
129,3912.355769230769
130,4890.977777777778
131,4591.75
132,5555.606060606061
133,4266.738461538462
134,6116.709677419355
135,4003.9836065573772
136,5992.5
137,8004.047619047619
138,3527.2678571428573
139,5138.153846153846
140,5138.462962962963
141,4261.3877551020405
142,4483.903846153846
143,4024.4012738853503
144,5772.7169811320755
145,5951.555555555556
146,3802.6326530612246
147,4337.846153846154
148,6331.222222222223
149,3857.051282051282
150,4402.458333333333
151,4999.184210526316
152,4347.915094339623
153,5051.490196078431
154,3706.240740740741
155,3995.80198019802
156,4878.059405940594
157,4653.971428571429
158,5675.6
159,4177.2786885245905
160,6315.833333333333
161,3872.019230769231
162,5986.0
163,7334.0526315789475
164,3550.915789473684
165,5292.971428571429
166,5010.648148148148
167,4279.320512820513
168,4563.117647058823
169,3955.1388888888887
170,5475.45
171,6662.583333333333
172,3923.25
173,4297.183673469388
174,6482.583333333333
175,3775.4285714285716
176,4429.669642857143
177,4922.0
178,4454.25
179,4940.851063829788
180,3685.844827586207
181,3922.5446428571427
182,4788.044776119403
183,4626.719626168225
184,5610.047619047619
185,4189.754716981132
186,6292.55
187,3975.24
188,6573.333333333333
189,8020.391304347826
190,3587.4477611940297
191,5172.575
192,5125.959183673469
193,4267.816901408451
194,4406.36
195,3872.019047619048
196,5622.594594594595
197,6391.5
198,3897.8709677419356
199,4239.586956521739
200,6474.711111111111
201,3888.8048780487807
202,4403.136363636364
203,5227.652173913043
204,4374.366972477064
205,5280.1509433962265
206,3717.2743362831857
207,3985.9156626506024
208,4796.39705882353
209,4624.125
210,5665.75
211,4265.363636363636
212,6089.333333333333
213,3970.5714285714284
214,6452.333333333333
215,8783.125
216,3512.6417910447763
217,5196.833333333333
218,5160.711111111111
219,4245.975
220,4234.615384615385
221,4092.4083333333333
222,5793.242424242424
223,6244.2
224,3919.2363636363634
225,4220.209302325581
226,6198.166666666667
227,3889.235294117647
228,4304.6082474226805
229,5029.184210526316
230,4335.738738738739
231,5091.702127659574
232,3662.909090909091
233,3956.2613636363635
234,4840.691358024691
235,4681.775193798449
236,5558.682926829269
237,4188.756756756757
238,6335.1016949152545
239,3839.5797101449275
240,6284.25
241,7566.071428571428
242,3534.6704545454545
243,5156.333333333333
244,5149.375
245,4237.549450549451
246,4376.8125
247,4000.856115107914
248,5587.311475409836
249,5898.75
250,3829.754716981132
251,4246.830769230769
252,6680.760869565217
253,3819.108695652174
254,4422.321428571428
255,4667.4473684210525
256,4341.785714285715
257,5229.811320754717
258,3744.7109375
259,4002.1688311688313
260,4821.808219178082
261,4687.1648351648355
262,5598.347826086957
263,4195.558823529412
264,6369.882352941177
265,3883.05
266,5629.0
267,7538.1
268,3585.3283582089553
269,5404.133333333333
270,5132.6
271,4277.416666666667
272,4422.5
273,4030.748201438849
274,5542.0526315789475
275,6261.285714285715
276,3904.322033898305
277,4433.490566037736
278,6317.476190476191
279,3830.4363636363637
280,4447.274336283186
281,4832.9375
282,4327.721649484536
283,5406.931818181818
284,3738.700934579439
285,4037.8333333333335
286,4923.470588235294
287,4692.39603960396
288,5518.258064516129
289,4163.094339622641
290,6567.875
291,3955.8936170212764
292,6498.5
293,7173.631578947368
294,3588.8
295,5260.648648648648
296,5240.5142857142855
297,4249.296875
298,4449.384615384615
299,4103.2342342342345
300,5727.697674418605
301,6714.1
302,3899.5882352941176
303,4460.840579710145
304,6579.075
305,3845.6
306,4298.626506024097
307,4724.076923076923
308,4353.289473684211
309,5034.955555555555
310,3720.7450980392155
311,3949.4597701149423
312,5008.285714285715
313,4680.426829268293
314,5587.217391304348
315,4166.431372549019
316,6000.511627906977
317,3850.7916666666665
318,6767.0
319,8041.0
320,3606.8529411764707
321,5048.925
322,4995.229166666667
323,4084.9830508474574
324,4411.48
325,4102.029702970297
326,5859.424242424242
327,6307.642857142857
328,3885.125
329,4508.392156862745
330,6617.72
331,3842.878787878788
332,4376.691489361702
333,4873.0
334,4368.741071428572
335,5016.041666666667
336,3659.7619047619046
337,3959.3863636363635
338,4981.949152542373
339,4649.238636363636
340,5603.695652173913
341,4179.428571428572
342,6386.020833333333
343,3875.2608695652175
344,6287.75
345,8143.214285714285
346,3542.476923076923
347,5121.291666666667
348,4997.827586206897
349,4169.111111111111
350,4342.815789473684
351,4073.0823529411764
352,5929.131578947368
353,6286.571428571428
354,3868.862068965517
355,4475.808510638298
356,6278.8421052631575
357,3815.1071428571427
358,4398.9390243902435
359,4989.818181818182
360,4394.325301204819
361,4985.767441860465
362,3697.418181818182
363,3926.265625
364,4847.814814814815
365,4684.4157303370785
366,5613.235294117647
367,4273.6557377049185
368,6099.984848484848
369,4068.05
370,6393.0
371,7601.739130434783
372,3588.804347826087
373,5059.777777777777
374,4935.770833333333
375,4126.393258426966
376,4376.258064516129
377,4138.858333333334
378,6260.558139534884
379,6184.5
380,3924.0508474576272
381,4535.214285714285
382,6646.365853658536
383,3864.0238095238096
384,4355.566666666667
385,4936.342857142857
386,4384.553846153846
387,4962.302325581395
388,3737.1495327102803
389,3967.2526315789473
390,4937.277777777777
391,4505.9646017699115
392,5853.454545454545
393,4201.080645161291
394,6349.426229508197
395,3880.823529411765
396,6336.714285714285
397,7000.166666666667
398,3573.9795918367345
399,5353.95744680851
400,5278.906976744186
401,4102.792207792208
402,4437.391304347826
403,4045.1971830985917
404,6314.741935483871
405,6113.3
406,3848.529411764706
407,4548.322222222222
408,6456.857142857143
409,3765.8048780487807
410,4398.771812080537
411,4954.176470588235
412,4422.81679389313
