,month,town,resale_price
0,2017-01-01,ANG MO KIO,232000
1,2017-01-01,ANG MO KIO,250000
2,2017-01-01,ANG MO KIO,262000
3,2017-01-01,ANG MO KIO,265000
4,2017-01-01,ANG MO KIO,265000
5,2017-01-01,ANG MO KIO,275000
6,2017-01-01,ANG MO KIO,280000
7,2017-01-01,ANG MO KIO,285000
8,2017-01-01,ANG MO KIO,285000
9,2017-01-01,ANG MO KIO,285000
10,2017-01-01,ANG MO KIO,288500
11,2017-01-01,ANG MO KIO,295000
12,2017-01-01,ANG MO KIO,295000
13,2017-01-01,ANG MO KIO,297000
14,2017-01-01,ANG MO KIO,298000
15,2017-01-01,ANG MO KIO,298000
16,2017-01-01,ANG MO KIO,300000
17,2017-01-01,ANG MO KIO,301000
18,2017-01-01,ANG MO KIO,306000
19,2017-01-01,ANG MO KIO,312000
20,2017-01-01,ANG MO KIO,312000
21,2017-01-01,ANG MO KIO,321000
22,2017-01-01,ANG MO KIO,325000
23,2017-01-01,ANG MO KIO,325000
24,2017-01-01,ANG MO KIO,328000
25,2017-01-01,ANG MO KIO,330000
26,2017-01-01,ANG MO KIO,330000
27,2017-01-01,ANG MO KIO,335000
28,2017-01-01,ANG MO KIO,338000
29,2017-01-01,ANG MO KIO,366000
30,2017-01-01,ANG MO KIO,373000
31,2017-01-01,ANG MO KIO,375000
32,2017-01-01,ANG MO KIO,390000
33,2017-01-01,ANG MO KIO,400000
34,2017-01-01,ANG MO KIO,400000
35,2017-01-01,ANG MO KIO,403000
36,2017-01-01,ANG MO KIO,410000
37,2017-01-01,ANG MO KIO,425888
38,2017-01-01,ANG MO KIO,430000
39,2017-01-01,ANG MO KIO,435000
40,2017-01-01,ANG MO KIO,435000
41,2017-01-01,ANG MO KIO,440000
42,2017-01-01,ANG MO KIO,460000
43,2017-01-01,ANG MO KIO,518000
44,2017-01-01,ANG MO KIO,518000
45,2017-01-01,ANG MO KIO,560000
46,2017-01-01,ANG MO KIO,688000
47,2017-01-01,ANG MO KIO,730000
48,2017-01-01,ANG MO KIO,756000
49,2017-01-01,ANG MO KIO,500000
50,2017-01-01,ANG MO KIO,668000
51,2017-01-01,ANG MO KIO,668000
52,2017-01-01,ANG MO KIO,725000
53,2017-01-01,ANG MO KIO,770000
54,2017-01-01,ANG MO KIO,832000
1168,2017-02-01,ANG MO KIO,233000
1169,2017-02-01,ANG MO KIO,238000
1170,2017-02-01,ANG MO KIO,245000
1171,2017-02-01,ANG MO KIO,253000
1172,2017-02-01,ANG MO KIO,270000
1173,2017-02-01,ANG MO KIO,276000
1174,2017-02-01,ANG MO KIO,285000
1175,2017-02-01,ANG MO KIO,290000
1176,2017-02-01,ANG MO KIO,295000
1177,2017-02-01,ANG MO KIO,300000
1178,2017-02-01,ANG MO KIO,312000
1179,2017-02-01,ANG MO KIO,313000
1180,2017-02-01,ANG MO KIO,315000
1181,2017-02-01,ANG MO KIO,315000
1182,2017-02-01,ANG MO KIO,315000
1183,2017-02-01,ANG MO KIO,316000
1184,2017-02-01,ANG MO KIO,320000
1185,2017-02-01,ANG MO KIO,320000
1186,2017-02-01,ANG MO KIO,333000
1187,2017-02-01,ANG MO KIO,350000
1188,2017-02-01,ANG MO KIO,355000
1189,2017-02-01,ANG MO KIO,356000
1190,2017-02-01,ANG MO KIO,380000
1191,2017-02-01,ANG MO KIO,405000
1192,2017-02-01,ANG MO KIO,448000
1193,2017-02-01,ANG MO KIO,495000
1194,2017-02-01,ANG MO KIO,400000
1195,2017-02-01,ANG MO KIO,415000
1196,2017-02-01,ANG MO KIO,423000
1197,2017-02-01,ANG MO KIO,428000
1198,2017-02-01,ANG MO KIO,428888
1199,2017-02-01,ANG MO KIO,459000
